date,media,client_id,client_name,campaign_id,campaign_name,clicks,impressions,investment
29/08/2020,Verizon,9a47871a-c36d-4949-8a65-4d4f2b3801d9,Turcotte-McCullough,SWZERB-901,Angelica,270,843,536.37
15/06/2020,Twitter,7e909cb8-2153-4ba6-8976-bdc50f3aec06,Satterfield Group,NPLNPM-030,Ox Eye,186,122,638.97
09/05/2020,Google,5185a3bd-e265-4444-83fc-49085a9fb9e4,McLaughlin Inc,DWJXVL-764,Platygraphopsis Lichen,677,808,910.48
25/03/2020,Google,9bb6e1ea-17cb-4a83-acaa-7673a80c9fb9,"Runolfsson, Trantow and White",YDGRGN-019,Common Woodrush,706,649,916.25
23/01/2020,Google,a6e4bb77-e236-4a5d-bbe5-7210938222e7,"Rutherford, Champlin and Stamm",CDJQYD-628,Hybrid Rose,138,106,591.77
28/05/2020,Twitter,3e0bdba3-360f-4280-bd13-c2257f80639c,Cartwright-Blanda,JKISWW-344,False Helmetorchid,10,707,821.45
27/04/2020,Criteo,927241fd-4c4e-42ba-bd77-15ecce90f040,Anderson Inc,VVNDXZ-306,Pincushion Flower,435,750,337.01
15/03/2020,Google,bdf5f992-7954-45a2-a948-238cef6fa337,"Zulauf, Watsica and Powlowski",HNLCQF-749,Narrowleaf Saw-wort,182,923,287.69
26/03/2020,Verizon,c2481c63-d9cc-4c73-b54f-a65699401c85,"Heidenreich, Runolfsdottir and Bechtelar",TRAGLJ-965,Topal Holly,390,142,505.27
04/02/2020,Verizon,3f892f0c-a9b3-4bf6-b4d4-7762578528f3,Schowalter-Stanton,XWVMMW-027,Annual Marsh Elder,493,102,906.29
24/01/2020,Twitter,a0666bf8-f080-43e6-a830-1a49491ea88c,Rosenbaum Inc,ZYUWSL-762,Vetivergrass,707,16,362.01
18/07/2020,Percycle,525c6f78-3295-46a6-a8cd-e1b6c291d982,Bradtke-Hauck,OPHXQW-013,Nevada Pea,96,639,107.32
27/03/2020,Percycle,fe4aa62b-847d-44d8-ab63-1a0bd4a279dc,"Olson, Hamill and Adams",DOZGOB-115,Purple Amaranth,312,633,754.93
05/03/2020,Google,ec21296f-2b29-44a6-bb76-59bcbb73220b,Hilll Inc,JERJHO-172,Mayten,375,36,709.47
11/08/2020,Facebook,6b4e4fd6-7e2b-4cc8-9ef5-3613718ca6c2,"Brown, Spinka and Hirthe",EKWXIV-959,Sitka Mountain Ash,800,951,713.08
12/06/2020,Criteo,aecd76f4-fd80-4c80-978b-509b117e1b3b,Kunde-Streich,GLLFHQ-881,Springfield's Beardgrass,951,183,692.59
26/03/2020,Criteo,4905772c-7521-45a3-ab1d-f7d70df4eac0,"Raynor, Kiehn and O'Conner",XUOODR-386,Fringed Checkerbloom,216,759,968.18
14/02/2020,Verizon,0e7e2322-0e19-4d71-a9cf-0929ff58d543,Padberg-Kub,JGIUOD-077,Peaty Dewberry,918,92,452.69
28/01/2020,Google,49b921db-d815-4bab-af46-19e4eefa1428,Kub LLC,DLHONE-066,Purplenet Toadflax,424,914,853.51
07/07/2020,Google,b1151ac3-d09c-46b8-b3ce-b42ecc2ea836,Lynch Group,PRFPEI-814,Dwarf Stonecrop,291,29,787.29
12/04/2020,Percycle,159ef0dc-2440-4cbf-9366-ca3e8d6f7640,"Hudson, Schamberger and Homenick",TILSVK-879,Sticky Snakeroot,718,295,562.5
12/02/2020,Verizon,bdbba96a-9a92-49cf-b974-1fe4ceebd432,Hamill-Tremblay,ZFJBEZ-010,Maguire's Lewisia,602,710,504.4
